YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W52,PL,189725,,,0,,0,0,0,PL51,Age18_24,AZ,37958138
2020-W52,PL,171036,,,0,,0,0,0,PL63,Age18_24,JANSS,37958138
2020-W52,PL,169826,,,0,,0,0,0,PL71,Age18_24,AZ,37958138
2020-W52,PL,171036,,,0,,0,0,0,PL63,Age18_24,MOD,37958138
2020-W52,PL,169826,,,0,,0,0,0,PL71,Age18_24,JANSS,37958138
2020-W52,PL,67721,,,0,,0,0,0,PL52,Age18_24,AZ,37958138
2020-W52,PL,257295,,,0,,0,0,0,PL21,Age18_24,AZ,37958138
2020-W52,PL,170066,,,1,,0,0,0,PL82,Age18_24,COM,37958138
2020-W52,PL,91866,,,0,,0,0,0,PL72,Age18_24,COM,37958138
2020-W52,PL,91866,,,0,,0,0,0,PL72,Age18_24,JANSS,37958138
2020-W52,PL,,,,11,,0,0,0,PL92X,Age18_24,COM,37958138
2020-W52,PL,163186,,,0,,0,0,0,PL81,Age18_24,MOD,37958138
2020-W52,PL,257295,,,5,,0,0,0,PL21,Age18_24,COM,37958138
2020-W52,PL,88801,,,0,,0,0,0,PL84,Age18_24,AZ,37958138
